UserId,FirstName,LastName,Suffix,Gender,Status,CheckedIn,Email
1,Pierrette,Fick,,male,registered,1,pfick0@thetimes.co.uk
2,Pancho,Neasam,,female,invited,0,pneasam1@usatoday.com
3,Eddie,Scriviner,Jr,other,registered,1,escriviner2@baidu.com
4,Sutherlan,Lockier,,,active,0,slockier3@cargocollective.com
5,Rodie,Coll,,female,invited,1,rcoll4@1688.com
6,Alis,Krol,,female,active,0,akrol5@usnews.com
7,Augusto,Schonfeld,Sr,female,active,0,aschonfeld6@google.com.br
8,Dell,Francombe,,female,registered,1,dfrancombe7@intel.com
9,Patsy,McCalum,,male,invited,1,pmccalum8@gravatar.com
10,Glenine,Pitt,,male,invited,1,gpitt9@seesaa.net
11,Mirilla,Smedmoor,,other,active,1,msmedmoora@t-online.de
12,Franky,Olensby,,male,invited,0,folensbyb@fda.gov
13,Jon,De la Perrelle,,other,active,1,jdelaperrellec@wp.com
14,Lazar,Smithyman,,male,registered,0,lsmithymand@google.com
15,Ailbert,Kierans,,,active,1,akieranse@w3.org
16,Corny,Sheaber,,female,invited,0,csheaberf@mysql.com
17,Constancia,Bosche,,female,registered,1,cboscheg@youtube.com
18,Sanders,McCarter,,,active,0,smccarterh@google.pl
19,Marc,Towner,,female,invited,1,mtowneri@etsy.com
20,Darcy,Hambidge,,,invited,1,dhambidgej@naver.com
21,Charla,Boullen,,other,registered,0,cboullenk@boston.com
22,Guy,Frain,,,invited,0,gfrainl@issuu.com
23,Pippy,Tabard,,,active,1,ptabardm@i2i.jp
24,Lyell,Postans,,male,active,1,lpostansn@moonfruit.com
25,Madeleine,Hiskey,,female,invited,0,mhiskeyo@irs.gov
26,Dominick,Gillis,,male,registered,1,dgillisp@blogger.com
27,Emelda,Larroway,Sr,other,registered,1,elarrowayq@diigo.com
28,Adora,Barringer,,,registered,0,abarringerr@biglobe.ne.jp
29,Cornie,Irwin,,female,registered,1,cirwins@un.org
30,Zitella,Klehyn,,female,active,0,zklehynt@slashdot.org
31,Marmaduke,Reveland,,,active,1,mrevelandu@google.it
32,Goldarina,Gabbetis,,other,active,0,ggabbetisv@loc.gov
33,Walliw,Paulillo,,other,registered,1,wpaulillow@amazon.co.jp
34,Gerek,Suatt,,female,registered,0,gsuattx@phoca.cz
